Marka,Model,Depolama,RAM,Yaş,Fiyat
Samsung,Galaxy S20,64,6,0,16240.03
OnePlus,9 Pro,128,4,3,16386.94
OnePlus,9 Pro,128,6,5,15214.12
Apple,iPhone 10,64,6,2,15067.98
Apple,iPhone 10,64,4,4,13940.21
Huawei,P40,256,6,3,23625.69
Xiaomi,Redmi Note 9,128,12,3,13151.2
Huawei,Mate 40,128,4,0,15721.69
Xiaomi,Redmi Note 9,128,6,4,13750.67
Apple,iPhone 11,64,4,5,12392.24
Apple,iPhone 11,256,8,4,26642.31
Samsung,Galaxy S10,64,4,0,17271.3
Apple,iPhone 10,256,12,5,28886.62
OnePlus,8T,64,12,1,17199.83
Xiaomi,Mi 11,64,6,5,6795.42
OnePlus,Nord,256,6,5,22484.72
Samsung,Galaxy S10,256,6,0,26176.94
Samsung,Galaxy S20,128,8,1,21128.79
OnePlus,8T,256,12,3,23012.31
Samsung,Galaxy S21,128,4,4,16381.26
Apple,iPhone 11,64,4,4,13653.85
Oppo,Find X3,256,6,3,19353.67
Xiaomi,Mi 11,128,8,4,14306.23
Oppo,A15,256,12,3,22398.27
Samsung,Galaxy S20,256,4,0,29497.52
Apple,iPhone 12,256,6,0,29786.55
Samsung,Galaxy S21,256,6,0,29502.43
Samsung,Galaxy S20,256,8,5,21526.81
Apple,iPhone 10,64,12,1,18752.42
Oppo,Reno 5,64,8,0,12689.98
Oppo,Find X3,256,8,5,17496.44
Apple,iPhone 12,256,12,2,29647.95
Apple,iPhone 11,256,6,5,22803.33
Oppo,Find X3,256,8,1,25182.39
Huawei,Mate 40,64,4,1,12291.14
Oppo,Find X3,64,6,3,9563.55
Apple,iPhone 11,256,8,0,28243.5
Xiaomi,Redmi Note 8,64,12,3,9240.72
Apple,iPhone 10,256,6,5,25703.2
Apple,iPhone 12,256,12,0,29828.18
OnePlus,8T,256,12,4,24265.42
Samsung,Galaxy S21,128,8,2,17655.94
Huawei,Mate 40,128,12,1,17404.3
Xiaomi,Redmi Note 8,256,6,5,17138.92
Xiaomi,Mi 11,64,6,3,10303.11
Samsung,Galaxy S21,128,6,2,20189.0
Oppo,Reno 5,128,4,3,11470.61
Oppo,A15,64,4,1,9521.74
Xiaomi,Mi 11,256,6,4,18004.64
Apple,iPhone 11,64,6,2,14403.49
OnePlus,Nord,128,4,1,19533.57
Xiaomi,Mi 11,256,12,4,19529.62
Xiaomi,Redmi Note 9,64,8,2,11523.92
Huawei,P30,64,4,1,13174.93
Samsung,Galaxy S21,64,12,4,12458.85
Oppo,Find X3,64,6,2,10243.28
Apple,iPhone 10,256,8,5,24502.32
OnePlus,9 Pro,64,6,2,12012.5
Xiaomi,Mi 11,64,12,3,12057.74
Huawei,Mate 40,64,8,4,11273.01
Oppo,Find X3,256,8,4,18494.71
Huawei,Mate 40,256,8,4,19228.02
Huawei,Mate 40,128,8,2,16376.95
Oppo,Reno 5,256,8,3,23777.72
Huawei,P40,64,4,3,10625.44
Xiaomi,Redmi Note 9,64,4,2,10703.15
Xiaomi,Redmi Note 8,128,8,0,18728.53
Samsung,Galaxy S21,256,8,1,25033.47
Samsung,Galaxy S20,256,6,2,29288.5
Xiaomi,Redmi Note 9,256,8,0,22454.58
Xiaomi,Mi 11,64,6,5,6802.46
Xiaomi,Redmi Note 8,128,12,5,10789.84
Huawei,P30,64,6,3,11057.28
Apple,iPhone 10,64,12,2,17920.86
Oppo,Find X3,256,8,1,20180.01
Xiaomi,Redmi Note 9,256,12,1,24341.15
Samsung,Galaxy S21,256,8,2,24968.12
OnePlus,9 Pro,256,6,4,24489.24
Huawei,Mate 40,256,6,4,24315.61
Huawei,P40,128,4,5,10580.54
Samsung,Galaxy S10,128,8,4,16203.82
Samsung,Galaxy S10,128,6,2,16524.96
OnePlus,9 Pro,64,6,1,13636.15
Huawei,P40,64,8,5,8159.76
OnePlus,8T,128,4,2,15055.57
OnePlus,Nord,128,6,5,14013.56
Oppo,Find X3,256,12,0,26349.58
OnePlus,8T,256,8,2,28922.46
Xiaomi,Redmi Note 9,64,8,5,7528.69
Oppo,Reno 5,128,12,4,12773.99
Samsung,Galaxy S21,256,4,0,30123.63
Samsung,Galaxy S10,256,4,1,28692.21
Oppo,Find X3,64,12,2,12200.57
Oppo,A15,64,6,5,6703.4
OnePlus,Nord,256,8,1,29694.62
Samsung,Galaxy S21,256,4,1,29014.91
Xiaomi,Redmi Note 9,256,6,5,22097.38
Samsung,Galaxy S20,256,6,2,29492.55
OnePlus,Nord,256,4,0,29807.55
Oppo,A15,128,6,3,12894.3
Samsung,Galaxy S20,128,12,4,19163.06
Huawei,P30,128,8,0,16086.78
Apple,iPhone 10,64,12,5,12869.46
Samsung,Galaxy S21,256,12,0,32724.95
Samsung,Galaxy S20,64,4,2,13139.06
OnePlus,Nord,128,6,2,18888.81
Apple,iPhone 11,128,12,4,19728.76
Oppo,Reno 5,256,6,5,18218.62
OnePlus,9 Pro,128,4,4,14147.94
Oppo,Find X3,256,8,4,20441.54
OnePlus,9 Pro,64,8,3,12265.88
Apple,iPhone 11,256,12,1,32975.42
Xiaomi,Redmi Note 8,128,6,2,15415.25
Xiaomi,Mi 11,256,6,3,19492.13
Xiaomi,Redmi Note 9,256,12,4,23314.53
Apple,iPhone 11,64,6,1,15700.06
Xiaomi,Redmi Note 8,256,12,0,27706.01
Xiaomi,Redmi Note 9,64,12,0,11908.18
Apple,iPhone 12,256,4,3,30606.89
OnePlus,8T,64,12,2,12173.85
Oppo,Reno 5,256,8,3,19051.5
Apple,iPhone 12,256,12,3,25758.42
Apple,iPhone 10,256,8,1,30740.05
Huawei,P30,64,6,3,11335.24
OnePlus,8T,64,4,3,10714.77
Xiaomi,Redmi Note 8,64,4,2,9716.51
Samsung,Galaxy S20,128,4,3,15732.78
OnePlus,8T,64,12,4,13553.12
Samsung,Galaxy S21,64,8,1,17888.9
Huawei,P40,128,6,3,13923.92
Apple,iPhone 12,256,6,2,32113.61
Samsung,Galaxy S21,64,12,0,16612.76
Huawei,Mate 40,256,8,2,23542.1
Apple,iPhone 10,128,6,3,20504.54
OnePlus,9 Pro,256,6,0,28324.71
Apple,iPhone 11,64,4,1,18366.39
Apple,iPhone 11,128,12,1,22224.26
Apple,iPhone 10,256,6,2,31411.59
Samsung,Galaxy S20,64,8,1,15958.88
Xiaomi,Redmi Note 8,128,8,1,14718.96
Huawei,P40,256,8,0,22679.96
OnePlus,9 Pro,128,4,1,17471.06
Huawei,P40,64,6,4,8306.55
Huawei,Mate 40,64,12,2,13407.52
Huawei,P40,64,8,0,14091.04
Apple,iPhone 11,64,6,1,17493.91
Oppo,A15,64,6,0,9828.26
OnePlus,Nord,256,12,3,26997.69
Xiaomi,Mi 11,64,4,1,10196.55
Apple,iPhone 10,128,6,2,21939.09
OnePlus,9 Pro,128,6,5,15660.41
Apple,iPhone 10,64,4,1,18067.42
Huawei,P40,256,4,0,23312.48
Oppo,Reno 5,128,4,1,15204.3
OnePlus,8T,256,6,5,23002.42
Apple,iPhone 11,64,12,5,13205.35
Xiaomi,Mi 11,128,4,2,14337.71
OnePlus,8T,256,4,4,25051.09
Oppo,A15,64,4,2,8932.34
Oppo,A15,64,8,1,12009.5
Xiaomi,Redmi Note 8,64,6,4,7660.45
OnePlus,8T,128,12,3,14780.59
Apple,iPhone 10,256,6,5,27452.89
Xiaomi,Mi 11,64,4,1,10490.68
Xiaomi,Redmi Note 9,64,12,1,13633.45
Xiaomi,Redmi Note 9,64,8,4,8268.08
Huawei,P40,128,12,3,16329.05
Apple,iPhone 10,64,12,5,13329.92
Apple,iPhone 12,256,12,3,25358.4
Xiaomi,Redmi Note 9,256,6,4,19843.83
Samsung,Galaxy S21,128,8,5,14622.68
Oppo,Find X3,128,8,2,15289.52
Xiaomi,Redmi Note 9,64,8,5,7628.57
Xiaomi,Mi 11,256,8,1,23134.7
Oppo,Find X3,256,8,3,23079.25
Samsung,Galaxy S20,64,6,2,15208.19
OnePlus,8T,256,4,0,28138.89
Samsung,Galaxy S21,64,6,3,12860.67
Huawei,P40,64,8,1,12908.69
Huawei,P30,128,4,4,11326.65
Huawei,P30,256,4,3,22646.81
Oppo,Find X3,256,12,0,25853.29
Apple,iPhone 11,64,12,0,21452.7
Huawei,Mate 40,64,12,2,14115.79
Oppo,A15,64,12,0,12680.34
OnePlus,8T,64,12,5,10095.58
Samsung,Galaxy S21,128,12,1,20178.57
Oppo,Find X3,128,6,2,13229.93
Apple,iPhone 12,256,6,2,31576.29
Oppo,A15,64,12,2,9832.28
Xiaomi,Mi 11,64,12,1,14370.66
OnePlus,8T,256,6,0,26044.65
Apple,iPhone 12,256,6,1,32691.16
Huawei,P40,128,8,4,14951.53
Huawei,P40,64,4,5,7794.24
Xiaomi,Mi 11,64,8,0,12906.57
OnePlus,Nord,256,12,2,27520.12
Samsung,Galaxy S21,256,6,3,24766.22
Xiaomi,Mi 11,256,12,5,20114.26
Oppo,A15,256,12,2,19642.31
Oppo,A15,256,4,3,21028.67
Samsung,Galaxy S20,256,6,5,23393.1
Huawei,P30,256,6,2,21963.02
Apple,iPhone 10,64,4,2,14487.71
Apple,iPhone 10,128,4,3,17558.69
OnePlus,Nord,64,4,5,8199.58
Samsung,Galaxy S20,128,12,1,17578.68
OnePlus,9 Pro,256,12,2,27106.78
Apple,iPhone 12,64,4,4,14739.65
Xiaomi,Redmi Note 8,64,12,1,12131.81
Samsung,Galaxy S21,256,4,2,30205.87
Xiaomi,Mi 11,128,4,2,14853.13
Apple,iPhone 10,128,8,1,18975.36
Xiaomi,Redmi Note 9,64,4,3,7826.84
Xiaomi,Redmi Note 8,256,8,1,23937.75
OnePlus,Nord,128,8,4,15596.26
Samsung,Galaxy S20,128,4,4,14248.37
Samsung,Galaxy S10,128,4,5,15157.55
Apple,iPhone 10,128,6,4,18977.47
Xiaomi,Redmi Note 8,128,8,1,15548.88
Huawei,P40,64,4,0,14380.96
Xiaomi,Redmi Note 9,128,4,2,12710.32
Apple,iPhone 10,64,4,2,17043.03
Apple,iPhone 12,64,12,5,16193.02
Xiaomi,Redmi Note 9,128,8,1,13706.82
Xiaomi,Redmi Note 9,64,12,0,12396.21
OnePlus,Nord,64,8,1,15703.89
Xiaomi,Redmi Note 8,256,6,1,20630.57
Huawei,Mate 40,256,6,0,23837.64
Huawei,P40,128,12,5,12127.24
Huawei,Mate 40,128,4,3,15562.54
Oppo,A15,64,12,4,7238.2
Xiaomi,Redmi Note 9,256,8,3,20019.63
Oppo,Reno 5,128,8,4,13428.78
Samsung,Galaxy S21,64,4,4,10828.08
Samsung,Galaxy S20,128,8,1,21539.67
Xiaomi,Redmi Note 8,64,4,1,11338.5
OnePlus,8T,64,8,1,16581.67
Oppo,A15,64,4,3,8717.73
Apple,iPhone 11,128,8,5,15674.69
Apple,iPhone 11,128,8,5,18344.76
Samsung,Galaxy S21,64,8,3,14511.38
Samsung,Galaxy S20,64,8,4,13734.58
Xiaomi,Redmi Note 9,128,8,5,11024.69
Samsung,Galaxy S10,64,6,2,14154.93
Xiaomi,Redmi Note 9,256,8,1,23224.86
Huawei,Mate 40,256,12,3,25602.6
Huawei,P40,128,12,3,16194.54
OnePlus,9 Pro,64,4,2,13601.27
Samsung,Galaxy S10,128,6,0,19883.93
Apple,iPhone 11,128,8,0,23542.05
Apple,iPhone 10,64,12,1,18927.9
Xiaomi,Redmi Note 9,256,4,2,24228.06
Huawei,P30,256,12,1,22502.0
Xiaomi,Mi 11,256,8,4,19036.17
Samsung,Galaxy S20,128,8,1,17384.9
Samsung,Galaxy S10,128,4,0,20922.57
Apple,iPhone 10,256,8,5,27949.73
Oppo,Find X3,256,12,2,23274.51
Huawei,Mate 40,64,4,4,9081.66
Xiaomi,Mi 11,128,8,0,18911.27
Samsung,Galaxy S20,128,4,0,18116.7
Apple,iPhone 10,64,12,4,14026.79
Oppo,A15,128,8,4,12432.09
Apple,iPhone 12,256,12,1,28617.05
Samsung,Galaxy S21,128,4,1,21198.74
Apple,iPhone 12,128,4,4,15923.25
Samsung,Galaxy S21,256,6,5,25774.79
Oppo,Find X3,128,4,4,10673.24
Samsung,Galaxy S20,64,4,2,14274.93
Xiaomi,Mi 11,256,4,2,23395.28
Huawei,P30,256,12,5,20398.53
Oppo,A15,64,8,1,10848.41
OnePlus,Nord,128,6,2,15365.15
Xiaomi,Mi 11,64,12,0,12695.94
Apple,iPhone 11,64,8,3,14197.16
Apple,iPhone 10,64,12,1,19114.88
OnePlus,8T,64,12,5,10826.84
Samsung,Galaxy S10,64,8,5,11859.67
Oppo,A15,256,12,1,21975.67
Apple,iPhone 12,64,12,5,15067.3
Apple,iPhone 10,64,4,5,11206.34
Apple,iPhone 10,128,8,3,21166.93
Oppo,A15,256,8,1,21200.04
OnePlus,8T,64,12,5,12022.92
OnePlus,9 Pro,128,4,4,15954.82
Samsung,Galaxy S10,128,6,1,16571.16
Samsung,Galaxy S20,64,12,3,12768.01
Huawei,Mate 40,64,8,2,10740.62
Apple,iPhone 12,64,6,5,15221.27
Xiaomi,Mi 11,256,6,3,22729.99
Samsung,Galaxy S21,64,12,5,11188.86
Oppo,Find X3,128,6,2,14775.97
Huawei,P40,256,8,4,24623.46
Apple,iPhone 11,256,4,5,24378.73
Samsung,Galaxy S10,256,6,5,23505.73
Samsung,Galaxy S20,64,8,3,11849.63
Apple,iPhone 12,128,4,2,20940.52
OnePlus,9 Pro,64,4,2,14577.01
Samsung,Galaxy S20,256,12,2,24431.48
Oppo,A15,256,12,2,23425.7
Oppo,A15,64,12,2,8691.35
Apple,iPhone 10,128,4,3,16443.86
Oppo,Reno 5,128,6,1,12807.12
Samsung,Galaxy S10,128,8,0,19318.99
Huawei,P30,256,12,2,21885.97
Xiaomi,Redmi Note 9,256,8,1,21853.61
Samsung,Galaxy S21,256,8,3,26595.78
Xiaomi,Redmi Note 9,128,6,4,12025.4
Huawei,P40,64,8,2,10544.48
Samsung,Galaxy S10,64,12,5,12321.1
Samsung,Galaxy S10,64,12,0,15468.69
OnePlus,8T,128,4,0,19294.72
Xiaomi,Mi 11,128,4,5,11286.5
OnePlus,9 Pro,256,8,3,21769.74
Xiaomi,Redmi Note 8,64,8,0,11152.41
Apple,iPhone 12,128,4,2,22861.62
OnePlus,Nord,128,6,2,14657.06
Oppo,Find X3,128,8,0,15513.46
OnePlus,Nord,256,8,1,29552.45
Huawei,P40,256,6,3,21359.04
Huawei,Mate 40,256,6,4,21885.17
Apple,iPhone 10,64,6,3,13277.62
Apple,iPhone 11,256,4,4,29011.66
Samsung,Galaxy S21,128,8,1,20277.94
Huawei,Mate 40,128,12,2,18767.51
Samsung,Galaxy S10,256,12,2,29793.28
Xiaomi,Redmi Note 9,128,8,3,14816.69
Samsung,Galaxy S20,128,6,0,19251.31
OnePlus,9 Pro,256,4,4,22123.84
Apple,iPhone 10,128,6,4,17184.31
Huawei,Mate 40,256,4,2,21333.29
Xiaomi,Mi 11,128,6,5,13399.84
Huawei,P30,128,4,1,13954.66
Huawei,P30,128,6,5,12716.73
Huawei,Mate 40,64,12,3,12598.46
Samsung,Galaxy S20,256,8,5,23362.87
OnePlus,9 Pro,64,8,3,13558.13
Oppo,A15,64,6,0,11427.65
Oppo,Find X3,128,12,4,11750.81
Samsung,Galaxy S20,128,12,4,18763.95
Xiaomi,Mi 11,64,4,5,6856.72
OnePlus,9 Pro,128,6,5,13294.38
Apple,iPhone 11,64,8,1,16690.33
Xiaomi,Mi 11,128,8,5,12231.88
Apple,iPhone 12,256,12,0,31995.41
OnePlus,8T,256,12,0,25448.78
Samsung,Galaxy S20,64,12,5,12400.97
Apple,iPhone 12,128,12,0,23451.89
Samsung,Galaxy S10,128,6,0,19816.62
Oppo,Find X3,64,6,5,7525.63
Oppo,A15,256,12,4,20015.31
Xiaomi,Redmi Note 9,128,4,3,13307.15
Huawei,P40,64,6,1,10904.4
Xiaomi,Redmi Note 9,64,6,3,9668.81
Apple,iPhone 11,128,8,5,16598.09
Oppo,A15,128,6,4,10168.44
Huawei,P30,128,8,0,17334.88
Samsung,Galaxy S20,128,12,2,17740.58
Samsung,Galaxy S20,128,4,2,16652.23
Samsung,Galaxy S20,256,4,1,24813.26
Xiaomi,Redmi Note 9,256,6,5,21360.63
Samsung,Galaxy S20,128,12,1,20935.04
Oppo,Find X3,64,6,4,8444.76
Huawei,P40,128,8,3,14799.5
Huawei,P30,64,12,2,13495.76
Huawei,Mate 40,128,8,2,14174.32
Huawei,P30,64,8,0,12309.04
Huawei,P30,128,8,4,12072.56
Apple,iPhone 10,256,8,1,31244.97
Huawei,Mate 40,64,4,0,12125.93
OnePlus,8T,128,6,3,18143.98
OnePlus,8T,128,12,3,15901.05
Huawei,Mate 40,64,8,3,10944.02
OnePlus,Nord,256,12,1,27188.36
OnePlus,8T,64,8,5,10788.84
Apple,iPhone 12,64,8,5,13408.62
OnePlus,Nord,128,6,4,14461.6
Xiaomi,Redmi Note 9,64,4,1,11756.04
Huawei,P40,256,6,0,25530.96
Apple,iPhone 12,128,4,0,25148.11
Huawei,P30,64,12,2,10814.81
Huawei,P30,128,8,4,14958.52
Apple,iPhone 11,256,12,5,25545.45
Apple,iPhone 10,128,6,1,20377.56
Samsung,Galaxy S20,128,6,4,16367.13
Huawei,P30,128,8,0,17979.89
Oppo,Find X3,64,8,1,12559.28
Oppo,A15,128,4,0,13843.83
Huawei,P30,256,8,2,25646.2
Samsung,Galaxy S21,128,6,3,18015.33
Huawei,P40,256,6,5,19082.67
Huawei,P30,64,12,2,12717.29
Apple,iPhone 11,128,8,2,17612.55
Huawei,P40,128,6,2,13832.57
Xiaomi,Mi 11,256,8,2,22311.32
OnePlus,Nord,64,12,2,14129.66
Oppo,Reno 5,256,8,5,20751.95
Oppo,A15,256,12,2,22323.0
Xiaomi,Redmi Note 8,128,8,2,15451.01
Apple,iPhone 12,128,4,1,20855.06
Samsung,Galaxy S21,64,6,2,12910.35
OnePlus,Nord,64,4,3,12304.92
Oppo,Find X3,128,6,0,14342.72
Apple,iPhone 11,256,12,2,27660.84
Xiaomi,Mi 11,128,8,3,13469.49
OnePlus,8T,64,6,3,12642.41
OnePlus,Nord,128,4,0,20000.51
Samsung,Galaxy S20,64,8,1,15410.23
Oppo,Reno 5,128,6,1,15550.61
Huawei,P30,64,12,2,12962.88
Samsung,Galaxy S10,64,6,1,13553.71
Apple,iPhone 10,64,12,1,18867.27
OnePlus,8T,64,6,2,13927.56
OnePlus,8T,64,6,1,13683.57
Huawei,P30,64,6,3,10320.51
Apple,iPhone 10,128,4,0,23240.6
Oppo,Find X3,256,4,4,22070.92
Oppo,Find X3,256,12,5,21938.12
Xiaomi,Redmi Note 9,128,4,4,11046.86
Oppo,Reno 5,64,6,2,9551.1
Oppo,Find X3,256,8,5,19718.68
Apple,iPhone 11,128,8,4,17058.3
Apple,iPhone 10,64,4,4,13313.49
OnePlus,Nord,128,12,3,18157.61
OnePlus,9 Pro,128,4,2,19462.92
Apple,iPhone 11,128,6,1,20874.97
Apple,iPhone 10,256,12,5,22869.39
Oppo,A15,128,6,1,12940.54
Oppo,Reno 5,256,6,0,25017.68
Apple,iPhone 11,128,4,5,18779.99
Samsung,Galaxy S21,128,6,4,16068.01
Apple,iPhone 11,128,12,1,24935.47
Oppo,Reno 5,128,6,1,14430.81
Oppo,Reno 5,128,6,4,11730.28
OnePlus,9 Pro,64,8,4,11385.16
OnePlus,8T,64,6,1,16041.51
Oppo,A15,256,6,3,19851.62
Huawei,Mate 40,128,8,0,17495.86
Huawei,P30,256,6,3,21990.05
OnePlus,8T,256,4,4,24644.49
Xiaomi,Redmi Note 9,64,8,2,10071.36
Oppo,A15,128,8,3,13600.58
Xiaomi,Redmi Note 8,128,6,3,11996.47
Huawei,P30,128,8,1,15187.1
Xiaomi,Redmi Note 9,128,8,1,15838.91
Oppo,A15,64,6,3,9118.71
OnePlus,9 Pro,256,6,2,22918.56
Apple,iPhone 12,64,6,0,19219.07
Huawei,Mate 40,64,4,4,10394.75
Apple,iPhone 12,256,6,0,31798.69
Oppo,Reno 5,128,6,5,11987.16
Oppo,Find X3,128,4,0,14683.28
Apple,iPhone 10,256,12,0,31550.64
Xiaomi,Redmi Note 8,64,12,4,9700.23
Huawei,P30,64,8,4,8240.08
Samsung,Galaxy S20,64,8,1,15612.32
Samsung,Galaxy S21,128,6,1,17769.33
OnePlus,9 Pro,256,6,5,24683.03
Xiaomi,Redmi Note 9,128,8,1,15117.8
Huawei,Mate 40,128,6,0,20307.7
Oppo,Reno 5,128,6,2,14660.63
Samsung,Galaxy S20,128,4,3,16215.82
Huawei,Mate 40,128,8,2,15581.72
Huawei,Mate 40,256,8,4,24062.39
OnePlus,8T,256,6,5,24312.41
Xiaomi,Redmi Note 8,64,12,5,7571.68
OnePlus,9 Pro,64,4,4,12050.02
Apple,iPhone 11,256,8,1,27145.03
Samsung,Galaxy S20,256,8,4,21963.14
Xiaomi,Mi 11,64,4,3,9395.75
Xiaomi,Redmi Note 8,64,12,0,13577.24
Huawei,P30,64,4,5,6787.92
Huawei,Mate 40,128,6,1,16304.14
Huawei,Mate 40,64,6,4,11026.69
Xiaomi,Redmi Note 8,256,4,1,25024.86
Samsung,Galaxy S20,64,4,3,13970.29
Samsung,Galaxy S20,256,8,5,26000.07
OnePlus,Nord,64,8,5,10723.58
Samsung,Galaxy S10,64,8,4,10292.44
Huawei,P40,64,12,3,11170.19
OnePlus,9 Pro,64,8,0,18242.45
Oppo,A15,64,8,3,9611.54
Oppo,Find X3,64,6,2,9146.86
Samsung,Galaxy S21,256,6,1,27013.7
Huawei,P30,256,6,5,21472.79
OnePlus,9 Pro,256,4,5,20808.67
Apple,iPhone 11,256,12,2,32273.55
Huawei,P30,64,6,4,8796.92
Samsung,Galaxy S20,128,8,1,21503.18
OnePlus,9 Pro,64,8,3,12730.94
Apple,iPhone 10,256,4,1,25393.71
Samsung,Galaxy S20,256,8,3,27576.37
Oppo,A15,128,4,0,14258.66
Huawei,P40,256,8,1,21498.55
Oppo,Find X3,128,6,1,14151.39
Samsung,Galaxy S20,256,8,0,27267.83
Xiaomi,Redmi Note 8,128,8,3,12554.61
Apple,iPhone 10,128,8,2,18106.44
Huawei,P30,256,12,0,24777.51
Samsung,Galaxy S20,128,12,3,16130.48
OnePlus,8T,64,6,2,13523.93
Oppo,Reno 5,64,12,2,10773.09
Samsung,Galaxy S20,256,4,5,23288.71
Apple,iPhone 10,128,8,0,21984.33
Huawei,P30,128,4,5,12027.1
Oppo,Reno 5,256,4,0,24116.59
Xiaomi,Redmi Note 9,256,6,1,22265.97
Apple,iPhone 12,256,12,1,29653.1
Oppo,A15,64,4,1,10164.65
Samsung,Galaxy S20,128,6,0,18264.62
Huawei,Mate 40,64,8,4,10981.96
Huawei,P30,64,6,3,10761.65
Oppo,A15,64,8,2,9813.53
Xiaomi,Redmi Note 8,64,6,3,9129.55
Samsung,Galaxy S10,64,12,5,10237.91
OnePlus,Nord,256,8,0,25617.88
Samsung,Galaxy S21,128,4,0,18162.16
OnePlus,9 Pro,64,12,3,12975.74
Xiaomi,Mi 11,256,12,1,24309.96
Huawei,P40,128,6,1,17322.53
Huawei,P40,256,4,4,20263.76
Xiaomi,Redmi Note 8,256,6,2,24060.83
Huawei,P30,256,12,0,28809.92
Apple,iPhone 10,64,8,5,12595.58
OnePlus,Nord,256,6,3,24093.15
Apple,iPhone 12,64,8,5,14379.56
Huawei,P40,64,4,5,8303.64
Samsung,Galaxy S10,256,8,0,31508.96
Samsung,Galaxy S20,64,12,0,14705.73
Apple,iPhone 10,256,4,5,23209.73
Huawei,P40,128,6,3,16241.23
Huawei,P40,256,4,3,25265.21
Samsung,Galaxy S21,64,12,1,15234.63
Oppo,A15,128,4,3,12980.55
Oppo,A15,128,8,2,15345.74
Huawei,Mate 40,64,12,3,10442.81
Xiaomi,Redmi Note 9,64,8,3,9220.97
Samsung,Galaxy S21,256,12,1,26255.87
Oppo,Reno 5,64,12,2,11662.83
Huawei,P40,64,6,3,10602.1
Xiaomi,Redmi Note 9,256,4,2,25291.6
Apple,iPhone 11,256,8,1,33708.21
Oppo,Reno 5,256,8,0,25472.5
Huawei,P40,64,12,3,12678.16
Oppo,Reno 5,128,12,2,16081.39
Xiaomi,Redmi Note 9,64,6,0,13521.78
Oppo,A15,64,6,0,11990.05
Xiaomi,Redmi Note 8,128,4,3,13565.99
Oppo,Reno 5,64,8,0,12633.06
Apple,iPhone 10,256,4,5,27188.12
Huawei,Mate 40,128,4,1,18563.58
Apple,iPhone 10,64,8,0,16999.75
Oppo,A15,128,8,5,9022.14
Apple,iPhone 11,128,12,5,15822.85
Oppo,A15,256,8,2,22282.61
Xiaomi,Mi 11,256,4,5,20752.69
OnePlus,Nord,256,8,3,24270.55
OnePlus,Nord,64,6,3,12055.47
Oppo,Reno 5,256,4,0,23982.59
OnePlus,9 Pro,256,6,2,27834.37
Huawei,P30,64,8,2,10320.14
Oppo,Find X3,64,4,5,5862.44
Xiaomi,Mi 11,128,6,2,14743.83
OnePlus,8T,256,4,1,27028.11
Apple,iPhone 12,128,6,1,19627.15
Oppo,Reno 5,128,4,4,11373.64
Xiaomi,Mi 11,256,12,2,21683.07
OnePlus,9 Pro,128,4,1,16034.73
Oppo,Reno 5,128,6,1,14583.07
Xiaomi,Redmi Note 8,128,6,1,14815.57
Oppo,Reno 5,128,8,2,15478.68
Samsung,Galaxy S21,128,4,4,14674.95
OnePlus,Nord,128,6,5,14985.1
Samsung,Galaxy S21,128,6,2,17970.84
Samsung,Galaxy S20,64,6,1,16746.35
Oppo,Find X3,64,8,5,6807.69
OnePlus,9 Pro,128,6,5,15976.74
Huawei,P40,256,4,3,20469.17
Samsung,Galaxy S10,128,8,0,21998.78
Oppo,A15,256,12,0,26525.78
Xiaomi,Redmi Note 8,128,6,5,10075.35
Samsung,Galaxy S10,128,4,1,20930.16
OnePlus,9 Pro,256,4,0,26264.76
Huawei,Mate 40,64,12,5,8507.41
Samsung,Galaxy S20,128,6,4,14317.87
Samsung,Galaxy S10,256,12,5,25309.34
Oppo,Reno 5,128,4,0,13433.3
Oppo,Find X3,64,4,3,8414.0
Samsung,Galaxy S20,64,8,1,14983.57
Oppo,Find X3,128,12,2,14862.65
Oppo,Find X3,64,6,4,8302.03
Oppo,Reno 5,128,12,5,10477.9
Oppo,A15,256,6,0,26600.19
OnePlus,Nord,256,12,2,24656.77
Samsung,Galaxy S10,64,8,5,10835.68
Xiaomi,Mi 11,256,6,4,19857.76
Xiaomi,Redmi Note 8,256,12,2,23926.47
Oppo,Find X3,64,8,3,8699.57
Apple,iPhone 12,64,4,4,14218.37
Samsung,Galaxy S20,128,4,0,17154.21
Huawei,P40,256,12,1,26267.19
Xiaomi,Redmi Note 9,64,12,2,11542.42
Oppo,Reno 5,64,8,1,12352.85
Oppo,A15,128,8,1,13968.59
Samsung,Galaxy S21,128,6,4,15128.8
OnePlus,9 Pro,256,12,4,22040.54
OnePlus,8T,64,12,3,14592.01
Apple,iPhone 10,256,12,1,27732.13
Xiaomi,Redmi Note 9,256,12,2,25491.53
Oppo,A15,64,6,5,6950.53
Apple,iPhone 11,64,8,2,18246.83
OnePlus,Nord,256,12,4,26105.43
Oppo,Reno 5,256,6,2,21832.68
Huawei,P30,128,8,4,12086.24
Xiaomi,Redmi Note 9,64,4,5,6009.7
Huawei,Mate 40,256,8,0,26957.58
OnePlus,Nord,256,8,0,29152.08
Apple,iPhone 10,64,12,1,19928.33
Apple,iPhone 11,256,8,4,26434.5
Samsung,Galaxy S20,256,4,1,29210.0
Apple,iPhone 10,128,4,2,21987.18
Oppo,A15,256,6,2,21008.28
Oppo,Reno 5,128,6,5,11210.52
Oppo,A15,64,6,4,7435.21
Xiaomi,Redmi Note 8,64,12,1,10655.03
